x,y,z,prime,pcolor
7,7,36000,1080007,GREEN
29,29,36000,1080029,BLUE
13,13,36001,1080043,GOLD
19,19,36001,1080049,RED
29,29,36001,1080059,BLUE
13,13,36002,1080073,GOLD
17,17,36002,1080077,GOLD
23,23,36002,1080083,GREEN
29,29,36002,1080089,BLUE
1,1,36003,1080091,BLUE
7,7,36003,1080097,GREEN
29,29,36003,1080119,BLUE
17,17,36004,1080137,GOLD
23,23,36004,1080143,GREEN
23,23,36005,1080173,GREEN
19,19,36006,1080199,RED
7,7,36007,1080217,GREEN
13,13,36007,1080223,GOLD
19,19,36007,1080229,RED
11,11,36008,1080251,RED
19,19,36008,1080259,RED
23,23,36008,1080263,GREEN
29,29,36008,1080269,BLUE
1,1,36009,1080271,BLUE
11,11,36009,1080281,RED
1,1,36010,1080301,BLUE
7,7,36010,1080307,GREEN
11,11,36010,1080311,RED
29,29,36010,1080329,BLUE
11,11,36011,1080341,RED
17,17,36011,1080347,GOLD
23,23,36011,1080353,GREEN
23,23,36012,1080383,GREEN
23,23,36013,1080413,GREEN
29,29,36013,1080419,BLUE
13,13,36014,1080433,GOLD
19,19,36014,1080439,RED
29,29,36014,1080449,BLUE
1,1,36015,1080451,BLUE
13,13,36015,1080463,GOLD
29,29,36015,1080479,BLUE
1,1,36016,1080481,BLUE
11,11,36016,1080491,RED
13,13,36017,1080523,GOLD
29,29,36017,1080539,BLUE
13,13,36018,1080553,GOLD
17,17,36018,1080557,GOLD
19,19,36018,1080559,RED
19,19,36019,1080589,RED
13,13,36020,1080613,GOLD
17,17,36021,1080647,GOLD
19,19,36021,1080649,RED
1,1,36022,1080661,BLUE
19,19,36022,1080679,RED
23,23,36022,1080683,GREEN
23,23,36023,1080713,GREEN
29,29,36024,1080749,BLUE
7,7,36025,1080757,GREEN
13,13,36025,1080763,GOLD
17,17,36025,1080767,GOLD
23,23,36025,1080773,GREEN
7,7,36026,1080787,GREEN
11,11,36026,1080791,RED
17,17,36026,1080797,GOLD
23,23,36026,1080803,GREEN
1,1,36027,1080811,BLUE
7,7,36027,1080817,GREEN
13,13,36027,1080823,GOLD
1,1,36028,1080841,BLUE
7,7,36028,1080847,GREEN
11,11,36028,1080851,RED
17,17,36028,1080857,GOLD
29,29,36029,1080899,BLUE
1,1,36030,1080901,BLUE
7,7,36030,1080907,GREEN
13,13,36030,1080913,GOLD
23,23,36030,1080923,GREEN
11,11,36031,1080941,RED
13,13,36031,1080943,GOLD
11,11,36032,1080971,RED
13,13,36032,1080973,GOLD
23,23,36032,1080983,GREEN
7,7,36034,1081027,GREEN
17,17,36034,1081037,GOLD
1,1,36035,1081051,BLUE
11,11,36035,1081061,RED
29,29,36035,1081079,BLUE
17,17,36036,1081097,GOLD
19,19,36036,1081099,RED
11,11,36037,1081121,RED
13,13,36037,1081123,GOLD
17,17,36037,1081127,GOLD
23,23,36037,1081133,GREEN
29,29,36037,1081139,BLUE
13,13,36038,1081153,GOLD
23,23,36038,1081163,GREEN
19,19,36040,1081219,RED
29,29,36040,1081229,BLUE
1,1,36041,1081231,BLUE
7,7,36041,1081237,GREEN
13,13,36041,1081243,GOLD
17,17,36041,1081247,GOLD
17,17,36042,1081277,GOLD
19,19,36042,1081279,RED
1,1,36043,1081291,BLUE
13,13,36043,1081303,GOLD
17,17,36043,1081307,GOLD
11,11,36044,1081331,RED
17,17,36044,1081337,GOLD
1,1,36045,1081351,BLUE
11,11,36045,1081361,RED
19,19,36045,1081369,RED
23,23,36046,1081403,GREEN
7,7,36047,1081417,GREEN
19,19,36047,1081429,RED
1,1,36048,1081441,BLUE
7,7,36049,1081477,GREEN
1,1,36050,1081501,BLUE
13,13,36050,1081513,GOLD
11,11,36051,1081541,RED
23,23,36052,1081583,GREEN
11,11,36054,1081631,RED
17,17,36054,1081637,GOLD
7,7,36055,1081657,GREEN
29,29,36055,1081679,BLUE
1,1,36056,1081681,BLUE
7,7,36056,1081687,GREEN
19,19,36056,1081699,RED
29,29,36056,1081709,BLUE
1,1,36057,1081711,BLUE
11,11,36057,1081721,RED
13,13,36057,1081723,GOLD
23,23,36057,1081733,GREEN
1,1,36058,1081741,BLUE
17,17,36058,1081757,GOLD
23,23,36058,1081763,GREEN
1,1,36059,1081771,BLUE
7,7,36059,1081777,GREEN
11,11,36059,1081781,RED
19,19,36059,1081789,RED
23,23,36059,1081793,GREEN
13,13,36060,1081813,GOLD
23,23,36060,1081823,GREEN
23,23,36061,1081853,GREEN
29,29,36061,1081859,BLUE
1,1,36063,1081891,BLUE
11,11,36063,1081901,RED
17,17,36063,1081907,GOLD
29,29,36063,1081919,BLUE
17,17,36064,1081937,GOLD
19,19,36064,1081939,RED
29,29,36065,1081979,BLUE
1,1,36066,1081981,BLUE
7,7,36067,1082017,GREEN
13,13,36067,1082023,GOLD
17,17,36067,1082027,GOLD
7,7,36068,1082047,GREEN
13,13,36069,1082083,GOLD
19,19,36069,1082089,RED
23,23,36069,1082093,GREEN
29,29,36069,1082099,BLUE
29,29,36070,1082129,BLUE
11,11,36071,1082141,RED
13,13,36071,1082143,GOLD
19,19,36071,1082149,RED
23,23,36071,1082153,GREEN
1,1,36072,1082161,BLUE
11,11,36072,1082171,RED
17,17,36072,1082177,GOLD
29,29,36072,1082189,BLUE
7,7,36073,1082197,GREEN
19,19,36073,1082209,RED
11,11,36074,1082231,RED
13,13,36074,1082233,GOLD
23,23,36074,1082243,GREEN
23,23,36075,1082273,GREEN
7,7,36077,1082317,GREEN
11,11,36077,1082321,RED
11,11,36078,1082351,RED
29,29,36078,1082369,BLUE
7,7,36079,1082377,GREEN
11,11,36079,1082381,RED
13,13,36079,1082383,GOLD
17,17,36079,1082387,GOLD
29,29,36079,1082399,BLUE
29,29,36080,1082429,BLUE
13,13,36081,1082443,GOLD
17,17,36081,1082447,GOLD
7,7,36082,1082467,GREEN
1,1,36083,1082491,BLUE
7,7,36084,1082527,GREEN
11,11,36084,1082531,RED
13,13,36084,1082533,GOLD
23,23,36085,1082573,GREEN
29,29,36085,1082579,BLUE
1,1,36086,1082581,BLUE
13,13,36086,1082593,GOLD
17,17,36086,1082597,GOLD
23,23,36086,1082603,GREEN
11,11,36087,1082621,RED
19,19,36087,1082629,RED
7,7,36088,1082647,GREEN
19,19,36088,1082659,RED
11,11,36089,1082681,RED
29,29,36089,1082699,BLUE
7,7,36090,1082707,GREEN
17,17,36090,1082717,GOLD
23,23,36090,1082723,GREEN
29,29,36090,1082729,BLUE
13,13,36091,1082743,GOLD
1,1,36092,1082761,BLUE
17,17,36092,1082777,GOLD
11,11,36093,1082801,RED
1,1,36096,1082881,BLUE
11,11,36096,1082891,RED
1,1,36097,1082911,BLUE
29,29,36098,1082969,BLUE
1,1,36099,1082971,BLUE
19,19,36099,1082989,RED
23,23,36099,1082993,GREEN
29,29,36099,1082999,BLUE
7,7,36100,1083007,GREEN
1,1,36101,1083031,BLUE
7,7,36101,1083037,GREEN
29,29,36101,1083059,BLUE
13,13,36102,1083073,GOLD
17,17,36102,1083077,GOLD
19,19,36102,1083079,RED
23,23,36102,1083083,GREEN
17,17,36103,1083107,GOLD
23,23,36103,1083113,GREEN
29,29,36103,1083119,BLUE
1,1,36105,1083151,BLUE
17,17,36105,1083167,GOLD
11,11,36106,1083191,RED
13,13,36106,1083193,GOLD
1,1,36107,1083211,BLUE
1,1,36108,1083241,BLUE
13,13,36108,1083253,GOLD
13,13,36109,1083283,GOLD
17,17,36109,1083287,GOLD
19,19,36109,1083289,RED
1,1,36110,1083301,BLUE
7,7,36110,1083307,GREEN
11,11,36110,1083311,RED
17,17,36110,1083317,GOLD
19,19,36110,1083319,RED
7,7,36111,1083337,GREEN
19,19,36111,1083349,RED
7,7,36112,1083367,GREEN
11,11,36112,1083371,RED
17,17,36112,1083377,GOLD
1,1,36113,1083391,BLUE
19,19,36113,1083409,RED
11,11,36114,1083431,RED
23,23,36114,1083443,GREEN
29,29,36114,1083449,BLUE
1,1,36115,1083451,BLUE
13,13,36115,1083463,GOLD
23,23,36115,1083473,GREEN
17,17,36116,1083497,GOLD
7,7,36117,1083517,GREEN
1,1,36118,1083541,BLUE
19,19,36118,1083559,RED
1,1,36119,1083571,BLUE
13,13,36119,1083583,GOLD
1,1,36120,1083601,BLUE
11,11,36120,1083611,RED
13,13,36120,1083613,GOLD
29,29,36121,1083659,BLUE
29,29,36122,1083689,BLUE
17,17,36123,1083707,GOLD
23,23,36123,1083713,GREEN
1,1,36124,1083721,BLUE
23,23,36124,1083743,GREEN
29,29,36124,1083749,BLUE
7,7,36125,1083757,GREEN
13,13,36126,1083793,GOLD
29,29,36126,1083809,BLUE
17,17,36127,1083827,GOLD
23,23,36127,1083833,GREEN
29,29,36127,1083839,BLUE
7,7,36128,1083847,GREEN
11,11,36128,1083851,RED
1,1,36129,1083871,BLUE
11,11,36129,1083881,RED
29,29,36129,1083899,BLUE
11,11,36130,1083911,RED
13,13,36130,1083913,GOLD
23,23,36130,1083923,GREEN
11,11,36131,1083941,RED
17,17,36131,1083947,GOLD
19,19,36131,1083949,RED
23,23,36132,1083983,GREEN
11,11,36133,1084001,RED
29,29,36133,1084019,BLUE
23,23,36134,1084043,GREEN
1,1,36135,1084051,BLUE
17,17,36135,1084067,GOLD
29,29,36135,1084079,BLUE
7,7,36136,1084087,GREEN
13,13,36136,1084093,GOLD
23,23,36136,1084103,GREEN
23,23,36137,1084133,GREEN
7,7,36138,1084147,GREEN
17,17,36138,1084157,GOLD
7,7,36139,1084177,GREEN
17,17,36140,1084217,GOLD
19,19,36140,1084219,RED
17,17,36141,1084247,GOLD
23,23,36141,1084253,GREEN
7,7,36142,1084267,GREEN
7,7,36143,1084297,GREEN
11,11,36143,1084301,RED
19,19,36143,1084309,RED
23,23,36143,1084313,GREEN
13,13,36144,1084333,GOLD
7,7,36145,1084357,GREEN
17,17,36145,1084367,GOLD
23,23,36145,1084373,GREEN
23,23,36146,1084403,GREEN
13,13,36147,1084423,GOLD
19,19,36147,1084429,RED
11,11,36148,1084451,RED
19,19,36148,1084459,RED
29,29,36148,1084469,BLUE
1,1,36149,1084471,BLUE
7,7,36149,1084477,GREEN
13,13,36149,1084483,GOLD
23,23,36149,1084493,GREEN
13,13,36151,1084543,GOLD
17,17,36151,1084547,GOLD
23,23,36151,1084553,GREEN
19,19,36152,1084579,RED
